package,scope,category,current,installed,npm_latest,expo57_0_20_range,expo57_0_21_range,current_license,latest_license,architecture,recommendation,reason,source_file_count_including_types,source_references,usage_note,registry_url
expo-image,runtime,Expo官方,57.0.4,57.0.4,57.0.4,~57.0.4,~57.0.4,MIT,MIT,Expo Modules/官方原生集成,保留,已为官方SDK57图片组件；无等价封面调色板API替代image-colors。,15,src/components/TracksListItem.tsx:12; src/components/FloatingPlayer.tsx:13; src/components/PlaylistListItem.tsx:8; src/components/NowPlayList.tsx:10; src/components/SearchListItem.tsx:10; src/components/PlaylistTracksList.tsx:7; src/components/RadioListItem.tsx:8; src/components/PlaylistsList.tsx:10; src/components/SearchList.tsx:14; src/components/PlaylistsListModal.tsx:10; src/components/TracksList.tsx:11; src/components/ArtistTracksList.tsx:11; src/components/SingerTracksList.tsx:9; src/components/RadioList.tsx:9; src/app/player.tsx:36,,https://registry.npmjs.org/expo-image/latest
expo-image-picker,runtime,Expo官方,57.0.16,57.0.16,57.0.16,~57.0.16,~57.0.16,MIT,MIT,Expo Modules/官方原生集成,保留,歌单自定义封面；保留已有Library图片URI重定位。,1,src/app/(modals)/importPlayList.tsx:10,,https://registry.npmjs.org/expo-image-picker/latest
expo-keep-awake,runtime,Expo官方,57.0.1,57.0.1,57.0.1,~57.0.1,~57.0.1,MIT,MIT,Expo Modules/官方原生集成,保留,播放器设置所需；已为官方模块。,1,src/app/player.tsx:22,,https://registry.npmjs.org/expo-keep-awake/latest
expo-linear-gradient,runtime,Expo官方,57.0.1,57.0.1,57.0.1,~57.0.1,~57.0.1,MIT,MIT,Expo Modules/官方原生集成,保留,播放器视觉效果；已为官方组件。,1,src/app/player.tsx:23,,https://registry.npmjs.org/expo-linear-gradient/latest
expo-linking,runtime,Expo官方,57.0.9,57.0.9,57.0.9,~57.0.9,~57.0.9,MIT,MIT,Expo Modules/官方原生集成,保留peer/链接能力,Router和share-intent的peer依赖，业务无直接import不能判未使用。,0,,expo-router、expo-share-intent peer,https://registry.npmjs.org/expo-linking/latest
expo-localization,runtime,Expo官方,57.0.1,57.0.1,57.0.1,~57.0.1,~57.0.1,MIT,MIT,Expo Modules/官方原生集成,保留补丁,57.0.1仍需当前日历dangi与fallback补丁，源码编译选择一起保留。,1,src/utils/i18n.ts:4,,https://registry.npmjs.org/expo-localization/latest
expo-router,runtime,Expo官方,57.0.19,57.0.19,57.0.20,~57.0.19,~57.0.20,MIT,MIT,Expo Modules/官方原生集成,同SDK补丁升级候选,57.0.19→57.0.20随Expo57.0.21协调；保留搜索/导航/分享provider修复。,27,src/hooks/useNavigationSearch.tsx:3; src/components/FloatingPlayer.tsx:10; src/components/AddPlayListButton.tsx:1; src/components/ShowPlayerListToggle.tsx:3; src/components/TrackShortcutsMenu.tsx:8; src/components/SearchList.tsx:11; src/components/TracksList.tsx:8; src/components/GlobalButton.tsx:1; src/constants/layout.ts:1; src/app/(modals)/[name].tsx:7; src/app/(modals)/importPlayList.tsx:9; src/app/(modals)/importPlayList.tsx:11; src/app/(modals)/addToPlaylist.tsx:6; src/app/(modals)/addToPlaylist.tsx:7; src/app/(modals)/settingModal.tsx:22; src/app/(modals)/shareintent.tsx:11; src/app/player.tsx:24; src/app/[...unmatched].tsx:1; src/app/_layout.tsx:7; src/app/(tabs)/_layout.tsx:7; src/app/(tabs)/radio/[name].tsx:7; src/app/(tabs)/radio/_layout.tsx:5; src/app/(tabs)/radio/index.tsx:9; src/app/(tabs)/search/[name].tsx:4; src/app/(tabs)/search/_layout.tsx:5; src/app/(tabs)/(songs)/_layout.tsx:6; src/app/(tabs)/favorites/[name].tsx:7; src/app/(tabs)/favorites/_layout.tsx:6; src/app/(tabs)/favorites/index.tsx:9,,https://registry.npmjs.org/expo-router/latest
expo-share-intent,runtime,社区原生,8.0.1,8.0.1,8.0.1,,,MIT,MIT,Expo Modules（社区维护）,官方替代验证候选,社区包，已使用Expo Modules且与Expo57匹配。Expo Sharing57接收功能可替换大部分能力，但experimental，需迁App Group数据、剪贴板深链和冷启动去重。,2,src/app/(modals)/shareintent.tsx:12; src/app/_layout.tsx:16,,https://registry.npmjs.org/expo-share-intent/latest
expo-splash-screen,runtime,Expo官方,57.0.8,57.0.8,57.0.8,~57.0.8,~57.0.8,MIT,MIT,Expo Modules/官方原生集成,保留配置插件,app.json启用；业务无直接import不能判未使用。,0,,app.json plugins,https://registry.npmjs.org/expo-splash-screen/latest
expo-status-bar,runtime,Expo官方,57.0.1,57.0.1,57.0.1,~57.0.1,~57.0.1,MIT,MIT,Expo Modules/官方原生集成,保留,Expo官方JS封装；不是待迁移旧原生模块。,2,src/app/player.tsx:25; src/app/_layout.tsx:17,,https://registry.npmjs.org/expo-status-bar/latest
i18n-js,runtime,纯JS,4.5.0,4.5.0,4.5.3,,,MIT,MIT,不适用：无自有原生模块,小版本维护候选,4.5.0→4.5.3；保留翻译键和语言持久化。,1,src/utils/i18n.ts:5,,https://registry.npmjs.org/i18n-js/latest
iconv-lite,runtime,纯JS,0.6.3,0.6.3,0.7.3,,,MIT,MIT,不适用：无自有原生模块,直接声明移除候选,应用源码/原生资源/配置未见直接使用；核对实际依赖链后移除直接声明，transitive仍可保留。,0,,未发现应用/原生资源直接使用（待核对依赖链）,https://registry.npmjs.org/iconv-lite/latest
immer,runtime,纯JS,10.1.1,10.1.1,11.1.18,,,MIT,MIT,不适用：无自有原生模块,暂缓大版本,10→11不解决原生架构问题，现有配置/队列状态更新需要独立验证。,2,src/store/config.ts:3; src/helpers/trackPlayerIndex.ts:7,,https://registry.npmjs.org/immer/latest
lodash,runtime,纯JS,4.17.21,4.17.21,4.18.1,,,MIT,MIT,不适用：无自有原生模块,同系列维护候选,4.17.21→4.18.1；保留搜索节流/去抖行为。,2,src/hooks/useNavigationSearch.tsx:4; src/app/(tabs)/search/index.tsx:7,,https://registry.npmjs.org/lodash/latest
lodash.shuffle,runtime,纯JS,4.2.0,4.2.0,4.2.0,,,MIT,MIT,不适用：无自有原生模块,保留,4.2.0已是latest，业务随机播放使用；可日后与lodash去重。,2,src/helpers/trackPlayerIndex.ts:8; src/components/QueueControls.tsx:7,,https://registry.npmjs.org/lodash.shuffle/latest
patch-package,runtime,开发工具,8.0.0,8.0.0,8.0.1,,,MIT,MIT,不适用：构建/类型/检查工具,保留安装工具,postinstall --error-on-fail应用四个补丁；不是业务运行库。8.0.1可独立维护更新。,0,,package.json scripts.postinstall,https://registry.npmjs.org/patch-package/latest
react,runtime,框架,19.2.3,19.2.3,19.2.8,19.2.3,19.2.3,MIT,MIT,JS核心,保留Expo映射,Expo57.0.21仍映射19.2.3；npm19.2.8不作为独立升级指令。,62,src/store/config.ts:4; src/store/PersistStatus.ts:3; src/store/library.tsx:3; src/hooks/useAppTheme.tsx:11; src/hooks/useTrackPlayerVolume.tsx:1; src/hooks/useNavigationSearch.tsx:5; src/hooks/usePlayerBackground.tsx:2; src/hooks/useTrackPlayerFavorite.tsx:2; src/hooks/useDelayFalsy.ts:1; src/hooks/useLastActiveTrack.tsx:1; src/hooks/useSetupTrackPlayer.tsx:2; src/hooks/useTrackPlayerRepeatMode.tsx:1; src/components/TracksListItem.tsx:10; src/components/FloatingPlayer.tsx:11; src/components/PlaylistListItem.tsx:6; src/components/PlayerControls.tsx:4; src/components/AddPlayListButton.tsx:2; src/components/NowPlayList.tsx:8; src/components/SearchListItem.tsx:8; src/components/PlaylistTracksList.tsx:5; src/components/RadioListItem.tsx:6; src/components/QueueControls.tsx:8; src/components/PlaylistsList.tsx:8; src/components/PlayerRepeatToggle.tsx:3; src/components/PlayerRepeatToggle.tsx:4; src/components/ShowPlayerListToggle.tsx:4; src/components/ShowPlayerListToggle.tsx:5; src/components/TrackShortcutsMenu.tsx:9; src/components/SearchList.tsx:12; src/components/PlaylistsListModal.tsx:8; src/components/utils/StopPropagation.tsx:1; src/components/TracksList.tsx:9; src/components/GlobalButton.tsx:2; src/components/PlayerProgressbar.tsx:5; src/components/lyric/lyricItem.tsx:5; src/components/lyric/index.tsx:1; src/components/MovingText.tsx:1; src/components/PlayerVolumeBar.tsx:4; src/components/LogScreen.tsx:6; src/components/ArtistTracksList.tsx:9; src/components/SingerTracksList.tsx:7; src/components/RadioList.tsx:7; src/styles/index.ts:4; src/utils/stateMapper.ts:1; src/utils/timingClose.ts:4; src/app/(modals)/[name].tsx:8; src/app/(modals)/importPlayList.tsx:12; src/app/(modals)/addToPlaylist.tsx:8; src/app/(modals)/settingModal.tsx:23; src/app/(modals)/shareintent.tsx:13; src/app/(modals)/playList.tsx:5; src/app/(modals)/logScreen.tsx:2; src/app/player.tsx:26; src/app/_layout.tsx:18; src/app/(tabs)/_layout.tsx:8; src/types/declarations.d.ts:2; src/app/(tabs)/radio/[name].tsx:8; src/app/(tabs)/radio/index.tsx:10; src/app/(tabs)/search/index.tsx:8; src/app/(tabs)/(songs)/index.tsx:11; src/app/(tabs)/favorites/[name].tsx:8; src/app/(tabs)/favorites/localMusic.tsx:14; src/app/(tabs)/favorites/favoriteMusic.tsx:7; src/app/(tabs)/favorites/index.tsx:10,,https://registry.npmjs.org/react/latest
react-native,runtime,框架,0.86.3,0.86.3,0.87.1,0.86.3,0.86.3,MIT,MIT,Expo/RN新架构基础,保留Expo映射,Expo57.0.21仍映射0.86.3；独立latest0.87.1不与当前SDK混装。,59,src/store/pathConst.ts:1; src/helpers/trackPlayerIndex.ts:31; src/helpers/userApi/getMusicSource.ts:8; src/hooks/useAppTheme.tsx:12; src/components/TracksListItem.tsx:11; src/components/FloatingPlayer.tsx:12; src/components/PlaylistListItem.tsx:7; src/components/PlayerControls.tsx:5; src/components/AddPlayListButton.tsx:5; src/components/NowPlayList.tsx:9; src/components/SearchListItem.tsx:9; src/components/PlaylistTracksList.tsx:6; src/components/RadioListItem.tsx:7; src/components/QueueControls.tsx:9; src/components/PlaylistsList.tsx:9; src/components/SearchList.tsx:13; src/components/PlaylistsListModal.tsx:9; src/components/utils/StopPropagation.tsx:2; src/components/utils/nativeModules/cache.ts:1; src/components/utils/nativeModules/userApi.ts:1; src/components/utils/nativeModules/crypto.ts:1; src/components/utils/nativeModules/utils.ts:1; src/components/TracksList.tsx:10; src/components/GlobalButton.tsx:5; src/components/PlayerProgressbar.tsx:6; src/components/lyric/lyricItem.tsx:6; src/components/lyric/index.tsx:2; src/components/lyric/index.tsx:3; src/components/MovingText.tsx:2; src/components/PlayerVolumeBar.tsx:5; src/components/LogScreen.tsx:7; src/components/ArtistTracksList.tsx:10; src/components/SingerTracksList.tsx:8; src/components/RadioList.tsx:8; src/styles/index.ts:3; src/constants/images.ts:3; src/utils/timingClose.ts:8; src/utils/rpx.ts:1; src/app/(modals)/[name].tsx:9; src/app/(modals)/importPlayList.tsx:13; src/app/(modals)/addToPlaylist.tsx:9; src/app/(modals)/settingModal.tsx:24; src/app/(modals)/shareintent.tsx:14; src/app/(modals)/playList.tsx:6; src/app/player.tsx:27; src/app/(tabs)/_layout.tsx:9; src/types/theme.d.ts:1; src/app/(tabs)/radio/[name].tsx:9; src/app/(tabs)/radio/_layout.tsx:6; src/app/(tabs)/radio/index.tsx:11; src/app/(tabs)/search/[name].tsx:5; src/app/(tabs)/search/_layout.tsx:6; src/app/(tabs)/search/index.tsx:9; src/app/(tabs)/(songs)/_layout.tsx:7; src/app/(tabs)/(songs)/index.tsx:12; src/app/(tabs)/favorites/[name].tsx:9; src/app/(tabs)/favorites/_layout.tsx:7; src/app/(tabs)/favorites/localMusic.tsx:15; src/app/(tabs)/favorites/favoriteMusic.tsx:8; src/app/(tabs)/favorites/index.tsx:11,,https://registry.npmjs.org/react-native/latest
react-native-awesome-slider,runtime,社区JS组件,2.5.1,2.5.1,2.9.0,,,MIT,MIT,JS + Reanimated/Gesture，无独立原生模块,更新或替换验证,纯JS+Reanimated/Gesture，不是旧原生模块。2.9.0可核对类型修复后升级；@expo/ui Slider或官方文档收录的社区slider需重做拖动/样式映射。,2,src/components/PlayerProgressbar.tsx:7; src/components/PlayerVolumeBar.tsx:6,,https://registry.npmjs.org/react-native-awesome-slider/latest
react-native-background-timer,runtime,社区原生,2.4.1,2.4.1,2.4.1,,,MIT,MIT,旧 NativeModules/RCTEventEmitter，依赖interop,高优先级重构,2.4.1仍为旧模块。拆分网络超时与睡眠定时；Expo BackgroundTask不提供精确到时回调，不能直接替代。,4,src/helpers/userApi/request.js:3; src/components/utils/request.js:2; src/utils/delay.ts:1; src/utils/timingClose.ts:5,,https://registry.npmjs.org/react-native-background-timer/latest
react-native-fs,runtime,社区原生,2.20.0,2.20.0,2.20.0,,,MIT,MIT,旧 NativeModules/RCTBridgeModule，依赖interop,优先替换,2.20.0仍为旧模块且latest未变；统一到已安装的Expo FileSystem57，迁移5个直接调用文件。,5,src/player/CacheManager.ts:5; src/store/pathConst.ts:2; src/helpers/trackPlayerIndex.ts:9; src/helpers/localFile.ts:1; src/app/(modals)/settingModal.tsx:36,,https://registry.npmjs.org/react-native-fs/latest
react-native-gesture-handler,runtime,社区原生,2.32.0,2.32.0,3.2.1,~2.32.0,~2.32.0,MIT,MIT,Fabric/TurboModule,保留SDK版本,2.32.0已支持新架构；latest3.2.1是大版本且不在Expo57映射，不盲升。,4,src/components/QueueControls.tsx:10; src/components/lyric/index.tsx:13; src/app/player.tsx:37; src/app/_layout.tsx:19,,https://registry.npmjs.org/react-native-gesture-handler/latest
react-native-image-colors,runtime,社区原生,2.6.0,2.6.0,2.6.0,,,MIT,MIT,Expo Modules（社区维护）,保留,2.6.0已用Expo Modules，latest相同；Expo Image没有等价调色板提取API。,1,src/hooks/usePlayerBackground.tsx:3,,https://registry.npmjs.org/react-native-image-colors/latest
react-native-loader-kit,runtime,社区原生,4.1.0,4.1.0,4.1.0,,,MIT,MIT,Fabric/codegen（双实现）,可选精简,4.1.0已有Fabric；实际用于LineScaleParty播放指示。可用已有Reanimated重做同效果，普通ProgressView并不等价。,2,src/components/TracksListItem.tsx:13; src/components/SearchListItem.tsx:11,,https://registry.npmjs.org/react-native-loader-kit/latest
react-native-mmkv,runtime,社区原生,4.3.2,4.3.2,4.3.2,,,MIT,MIT,Nitro/JSI,保留,4.3.2已为Nitro新实现且latest相同；不为减少依赖再迁一遍用户数据库。,1,src/store/getOrCreateMMKV.ts:2,,https://registry.npmjs.org/react-native-mmkv/latest
react-native-nitro-modules,runtime,社区原生,0.35.9,0.35.9,0.37.1,,,MIT,MIT,Nitro/JSI基础层与Turbo安装入口,跟随MMKV配套维护,0.37.1可研究但非自动必升；当前0.35.9与MMKV4.3.2已有运行/数据证据。无业务import仍为必需peer。,0,,react-native-mmkv peer,https://registry.npmjs.org/react-native-nitro-modules/latest
react-native-reanimated,runtime,社区原生,4.5.1,4.5.1,4.6.0,4.5.1,4.5.1,MIT,MIT,新架构原生/JSI（4.x）,保留配套组合,当前4.5.1要求Worklets0.10.x；4.6.0要求0.12.x。作为成套升级单独验证，不只升其中一项。,6,src/components/FloatingPlayer.tsx:14; src/components/PlayerProgressbar.tsx:8; src/components/MovingText.tsx:3; src/components/PlayerVolumeBar.tsx:7; src/constants/commonConst.ts:1; src/app/player.tsx:38,,https://registry.npmjs.org/react-native-reanimated/latest
react-native-safe-area-context,runtime,社区原生,5.7.0,5.7.0,5.9.1,~5.7.0,~5.7.0,MIT,MIT,Fabric/TurboModule,按SDK维护,5.7.0已有Fabric/Turbo；5.9.1超出Expo当前~5.7.0范围，不因latest独立升级。,12,src/components/SearchList.tsx:15; src/components/LogScreen.tsx:22; src/app/(modals)/[name].tsx:10; src/app/(modals)/importPlayList.tsx:25; src/app/(modals)/addToPlaylist.tsx:10; src/app/(modals)/settingModal.tsx:37; src/app/(modals)/shareintent.tsx:15; src/app/(modals)/playList.tsx:7; src/app/player.tsx:46; src/app/_layout.tsx:20; src/app/(tabs)/_layout.tsx:10; src/app/(tabs)/search/index.tsx:17,,https://registry.npmjs.org/react-native-safe-area-context/latest
react-native-screens,runtime,社区原生,4.26.0,4.26.0,4.27.0,~4.26.0,~4.26.0,MIT,MIT,Fabric/TurboModule,按SDK维护,4.26.0已有Fabric/Turbo；4.27.0超出~4.26.0范围；保留当前唯一版本和搜索header行为。,1,src/hooks/useNavigationSearch.tsx:6,,https://registry.npmjs.org/react-native-screens/latest
react-native-toast-message,runtime,社区JS组件,2.2.1,2.2.1,2.5.2,,,MIT,MIT,纯JS，无自有原生模块,可做小版本更新,纯JS；2.2.1→2.5.2不涉及旧原生模块。,3,src/utils/utils.ts:4; src/app/(modals)/settingModal.tsx:38; src/app/_layout.tsx:21,,https://registry.npmjs.org/react-native-toast-message/latest
react-native-track-player,runtime,社区原生,4.1.2,4.1.2,4.1.2,,,Apache-2.0,Apache-2.0,旧 NativeModules/RCTEventEmitter，依赖interop,过渡保留；后续音频专项,4.1.2仍为旧原生模块interop。Expo Audio57有原生Playlist但未接入完整锁屏切歌；v5新包为商业/有限许可；见audio-analysis.md。,37,src/store/library.tsx:4; src/store/usePlayerStore.ts:3; src/helpers/trackPlayerIndex.ts:10; src/helpers/lyricManager.ts:9; src/helpers/types.ts:1; src/helpers/searchAll.ts:4; src/hooks/useTrackPlayerVolume.tsx:2; src/hooks/useTrackPlayerFavorite.tsx:3; src/hooks/useLastActiveTrack.tsx:2; src/hooks/useSetupTrackPlayer.tsx:3; src/hooks/useTrackPlayerRepeatMode.tsx:2; src/hooks/useLogTrackPlayerState.tsx:1; src/components/TracksListItem.tsx:14; src/components/FloatingPlayer.tsx:19; src/components/PlayerControls.tsx:6; src/components/NowPlayList.tsx:11; src/components/SearchListItem.tsx:12; src/components/PlaylistTracksList.tsx:8; src/components/QueueControls.tsx:11; src/components/TrackShortcutsMenu.tsx:10; src/components/SearchList.tsx:16; src/components/TracksList.tsx:12; src/components/PlayerProgressbar.tsx:9; src/components/SingerTracksList.tsx:10; src/constants/playbackService.ts:2; src/utils/trackUtils.ts:1; src/app/(modals)/[name].tsx:11; src/app/(modals)/addToPlaylist.tsx:11; src/app/(modals)/playList.tsx:8; src/app/player.tsx:47; src/app/_layout.tsx:22; src/types/player.d.ts:1; src/app/(tabs)/radio/[name].tsx:10; src/app/(tabs)/search/index.tsx:18; src/app/(tabs)/favorites/[name].tsx:10; src/app/(tabs)/favorites/localMusic.tsx:16; src/app/(tabs)/favorites/favoriteMusic.tsx:9,,https://registry.npmjs.org/react-native-track-player/latest
react-native-volume-manager,runtime,社区原生,2.2.0,2.2.0,2.2.0,,,MIT,MIT,旧 NativeModules/RCTEventEmitter，依赖interop,保留能力，规划模块替换,2.2.0仍为旧模块；Expo Audio volume是播放器增益，不能替代系统音量get/set/listener。可在自有Expo Module中保留该能力。,1,src/components/PlayerVolumeBar.tsx:8,,https://registry.npmjs.org/react-native-volume-manager/latest
react-native-worklets,runtime,社区原生,0.10.1,0.10.1,0.12.2,0.10.1,0.10.1,MIT,MIT,新架构原生/JSI,保留配套组合,0.10.1与Reanimated4.5.1配套；latest0.12.2须随Reanimated4.6.0一起评估。,0,,Reanimated peer与Babel集成,https://registry.npmjs.org/react-native-worklets/latest
ts-pattern,runtime,纯JS,5.0.8,5.0.8,5.9.0,,,MIT,MIT,不适用：无自有原生模块,低优先级维护,5.0.8→5.9.0；纯JS模式匹配，不影响原生架构。,2,src/components/PlayerRepeatToggle.tsx:5; src/components/TrackShortcutsMenu.tsx:11,,https://registry.npmjs.org/ts-pattern/latest
zustand,runtime,纯JS,4.5.2,4.5.2,5.0.15,,,MIT,MIT,不适用：无自有原生模块,暂缓大版本,4.5.2→5.0.15需检查selector稳定性、订阅和持久化；当前没有为新架构必须升级的依据。,4,src/store/library.tsx:5; src/store/queue.tsx:1; src/store/usePlayerStore.ts:1; src/store/usePlayerStore.ts:2; src/helpers/logger.ts:1,,https://registry.npmjs.org/zustand/latest
@babel/core,dev,开发工具,7.29.0,7.29.0,8.0.1,,,MIT,MIT,不适用：构建/类型/检查工具,保留7.x,latest8.0.1；Expo57 preset仍基于Babel7插件链，不直接切8。,0,,Expo/Metro Babel构建链,https://registry.npmjs.org/%40babel%2Fcore/latest
@babel/preset-env,dev,开发工具,7.24.5,7.24.5,8.0.2,,,MIT,MIT,不适用：构建/类型/检查工具,直接声明移除候选,本项目Babel配置只使用babel-preset-expo；核对构建链后再删直接声明，暂不升8。,0,,未见根Babel配置显式使用（待核对依赖链）,https://registry.npmjs.org/%40babel%2Fpreset-env/latest
@react-native/metro-config,dev,开发工具,0.86.3,0.86.3,0.87.1,,,MIT,MIT,不适用：构建/类型/检查工具,保留配套版本,0.86.3与RN匹配并满足Worklets peer；真正Metro入口为expo/metro-config。,0,,react-native-worklets peer,https://registry.npmjs.org/%40react-native%2Fmetro-config/latest
@types/lodash.shuffle,dev,开发工具,4.2.9,4.2.9,4.2.9,,,MIT,MIT,不适用：构建/类型/检查工具,保留,4.2.9已是latest，TypeScript工具依赖。,0,,lodash.shuffle类型编译,https://registry.npmjs.org/%40types%2Flodash.shuffle/latest
@types/node,dev,开发工具,16.9.1,16.9.1,26.5.0,,,MIT,MIT,不适用：构建/类型/检查工具,优先对齐工具链,16.9.1偏离CI Node24；应选择24.x类型，而不是直接用npm latest26.5.0。,0,,自动类型加载和.d.ts声明；CI Node24,https://registry.npmjs.org/%40types%2Fnode/latest
@types/react,dev,开发工具,19.2.14,19.2.14,19.2.18,,,MIT,MIT,不适用：构建/类型/检查工具,同系列补丁候选,19.2.14→19.2.18，与React19.2工具链一并验证。,0,,React/TSX类型编译,https://registry.npmjs.org/%40types%2Freact/latest
