package,scope,declared,installed,license,category,architecture,expo57_range,decision
react-native-gesture-handler,runtime,2.32.0,2.32.0,MIT,社区原生,Fabric/TurboModule,~2.32.0,保留SDK版本
react-native-image-colors,runtime,2.6.0,2.6.0,MIT,社区原生,Expo Modules（社区维护）,,保留
react-native-loader-kit,runtime,4.1.0,4.1.0,MIT,社区原生,Fabric/codegen（双实现）,,可选精简
react-native-mmkv,runtime,4.3.2,4.3.2,MIT,社区原生,Nitro/JSI,,保留
react-native-nitro-modules,runtime,0.35.9,0.35.9,MIT,社区原生,Nitro/JSI基础层与Turbo安装入口,,跟随MMKV配套维护
react-native-reanimated,runtime,4.5.1,4.5.1,MIT,社区原生,新架构原生/JSI（4.x）,4.5.1,保留配套组合
react-native-safe-area-context,runtime,5.7.0,5.7.0,MIT,社区原生,Fabric/TurboModule,~5.7.0,按SDK维护
react-native-screens,runtime,4.26.0,4.26.0,MIT,社区原生,Fabric/TurboModule,~4.26.0,按SDK维护
react-native-toast-message,runtime,2.2.1,2.2.1,MIT,社区JS组件,纯JS，无自有原生模块,,可做小版本更新
react-native-track-player,runtime,4.1.2,4.1.2,Apache-2.0,社区原生,旧 NativeModules/RCTEventEmitter，依赖interop,,保留 4.1.2 interop；候选开源播放器尚未证明队列/锁屏/后台音源功能等价
react-native-worklets,runtime,0.10.1,0.10.1,MIT,社区原生,新架构原生/JSI,0.10.1,保留配套组合
ts-pattern,runtime,5.0.8,5.0.8,MIT,纯JS,不适用：无自有原生模块,,低优先级维护
zustand,runtime,4.5.2,4.5.2,MIT,纯JS,不适用：无自有原生模块,,暂缓大版本
